Step,Normal Vehicles,Autonomous Vehicles(Particles),Vehicle Type,Fitness,Travel Time,Interaction Score,Interaction Information,Global Best Fitness,Global Best Position
30,6,,car,,244.0,0,,,
30,7,,car,,236.0,0,,,
30,8,,car,,229.0,0,,,
30,,9,auto,0.0045045045045045045,222.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 58.40901267051104
",,
31,0,,car,,286.0,0,,,
31,1,,car,,282.0,0,,,
31,10,,car,,229.0,0,,,
31,11,,car,,219.0,0,,,
31,,12,auto,0.004901960784313725,204.0,0,,,
31,,2,auto,0.0035971223021582736,278.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (0),
 distance: 15.729154698963576
",,
31,3,,car,,274.0,0,,,
31,,5,auto,0.003816793893129771,262.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (12),
 distance: 19.420524424230074
Autonomous Vehicle 5 is blocked by Normal Vehicle 0,
 distance: 14.288786997785312
",,
31,6,,car,,256.0,0,,,
31,7,,car,,248.0,0,,,
31,8,,car,,241.0,0,,,
31,,9,auto,0.004273504273504274,234.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 75.24484819599145
",,
32,0,,car,,299.0,0,,,
32,1,,car,,295.0,0,,,
32,10,,car,,242.0,0,,,
32,11,,car,,232.0,0,,,
32,,12,auto,1.0046082949308757,217.0,1,"Autonomous Vehicle 12 is too close to a Neighbor Normal Vehicle (3) in a different lane,
 distance: 41.80566858160679
Autonomous Vehicle 12 is blocked by Normal Vehicle 3,
 distance: 41.80566858160679
",,
32,,2,auto,0.003436426116838488,291.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 22.198262684844437
",,
32,3,,car,,287.0,0,,,
32,,5,auto,1.0036363636363637,275.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (0),
 distance: 6.692402029113772
Autonomous Vehicle 5 is blocked by Normal Vehicle 3,
 distance: 20.609401663850953
",,
32,6,,car,,269.0,0,,,
32,7,,car,,261.0,0,,,
32,8,,car,,254.0,0,,,
32,,9,auto,0.004048582995951417,247.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 85.05954908803592
",,
33,0,,car,,311.0,0,,,
33,1,,car,,307.0,0,,,
33,10,,car,,254.0,0,,,
33,11,,car,,244.0,0,,,
33,,12,auto,1.0043668122270741,229.0,1,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (1),
 distance: 5.995521824145733
",,
33,,2,auto,0.0033003300330033004,303.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 17.674356654642793
",,
33,3,,car,,299.0,0,,,
33,,5,auto,1.0034843205574913,287.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (0),
 distance: 2.856421573456956
Autonomous Vehicle 5 is blocked by Normal Vehicle 3,
 distance: 16.155637832223416
",,
33,6,,car,,281.0,0,,,
33,7,,car,,273.0,0,,,
33,8,,car,,266.0,0,,,
33,,9,auto,0.003861003861003861,259.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 93.03039978773172
",,
34,0,,car,,323.0,0,,,
34,1,,car,,319.0,0,,,
34,10,,car,,266.0,0,,,
34,11,,car,,256.0,0,,,
34,,12,auto,0.004149377593360996,241.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (6),
 distance: 5.929370703786574
",,
34,,2,auto,0.0031746031746031746,315.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 13.644099477490848
",,
34,3,,car,,311.0,0,,,
34,,5,auto,1.0033444816053512,299.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (1),
 distance: 22.79070447205789
Autonomous Vehicle 5 is blocked by Normal Vehicle 3,
 distance: 12.231309461828817
",,
34,6,,car,,293.0,0,,,
